Keyword,Sheet,Period,Value,FileType,Row,Col,Value_Col
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3339.4,10Q,25,0,3
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3276.2,10Q,25,0,9
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3079,10Q,27,0,3
deferred revenue,condensed consolidated bal,Q1 2025 (10Q),3084.7,10Q,27,0,9
deferred revenue,consolidated cash flows,Q1 2025 (10Q),57,10Q,22,0,3
deferred revenue,consolidated cash flows,Q1 2025 (10Q),54.8,10Q,22,0,9
subscription,notes to condensed consoli,Q1 2025 (10Q),623.1,10Q,6,0,3
subscription,notes to condensed consoli,Q1 2025 (10Q),536.9,10Q,6,0,9
support,notes to condensed consoli,Q1 2025 (10Q),457.5,10Q,7,0,3
support,notes to condensed consoli,Q1 2025 (10Q),407.5,10Q,7,0,9
service revenue,notes to condensed consoli,Q1 2025 (10Q),1080.6,10Q,8,0,3
service revenue,notes to condensed consoli,Q1 2025 (10Q),944.4,10Q,8,0,9
service revenue,stockbased compensation ex,Q1 2025 (10Q),6.5,10Q,5,0,3
service revenue,stockbased compensation ex,Q1 2025 (10Q),6.2,10Q,5,0,9
service revenue,notes to condensed consoli-16,Q1 2025 (10Q),143.2,10Q,7,0,3
service revenue,notes to condensed consoli-16,Q1 2025 (10Q),121.9,10Q,7,0,9
deferred revenue,key metrics,Q1 2025 (10Q),6418.4,10Q,6,0,3
deferred revenue,key metrics,Q1 2025 (10Q),5789.9,10Q,6,0,9
billings,key metrics,Q1 2025 (10Q),1597.2,10Q,7,0,3
billings,key metrics,Q1 2025 (10Q),1407.2,10Q,7,0,9
Billings,key metrics,Q1 2025 (10Q),1597.2,10Q,7,0,3
Billings,key metrics,Q1 2025 (10Q),1407.2,10Q,7,0,9
deferred revenue,billings nongaap,Q1 2025 (10Q),57.5,10Q,7,0,3
deferred revenue,billings nongaap,Q1 2025 (10Q),54.9,10Q,7,0,9
deferred revenue,billings nongaap,Q1 2025 (10Q),-1,10Q,8,0,9
billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
Billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
Billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
total billings,billings nongaap,Q1 2025 (10Q),1597.2,10Q,9,0,3
total billings,billings nongaap,Q1 2025 (10Q),1407.2,10Q,9,0,9
margin %,cost of revenue and gross,Q1 2025 (10Q),81.0%,10Q,12,0,3
margin %,cost of revenue and gross,Q1 2025 (10Q),77.5%,10Q,12,0,9
gross margin,cost of revenue and gross,Q1 2025 (10Q),81.0%,10Q,12,0,3
gross margin,cost of revenue and gross,Q1 2025 (10Q),77.5%,10Q,12,0,9
deferred revenue,key metrics,Q4 2024 (10K),6360.9,10K,6,0,3
deferred revenue,key metrics,Q4 2024 (10K),5735.0,10K,6,0,9
deferred revenue,key metrics,Q4 2024 (10K),4640.3,10K,6,0,15
billings,key metrics,Q4 2024 (10K),6532.5,10K,7,0,3
billings,key metrics,Q4 2024 (10K),6399.5,10K,7,0,9
billings,key metrics,Q4 2024 (10K),5594.0,10K,7,0,15
Billings,key metrics,Q4 2024 (10K),6532.5,10K,7,0,3
Billings,key metrics,Q4 2024 (10K),6399.5,10K,7,0,9
Billings,key metrics,Q4 2024 (10K),5594.0,10K,7,0,15
deferred revenue,billings nongaap,Q4 2024 (10K),625.9,10K,7,0,3
deferred revenue,billings nongaap,Q4 2024 (10K),1094.7,10K,7,0,9
deferred revenue,billings nongaap,Q4 2024 (10K),1187.4,10K,7,0,15
deferred revenue,billings nongaap,Q4 2024 (10K),-49.2,10K,8,0,3
deferred revenue,billings nongaap,Q4 2024 (10K),-10.8,10K,8,0,15
billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
Billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
Billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
Billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
total billings,billings nongaap,Q4 2024 (10K),6532.5,10K,9,0,3
total billings,billings nongaap,Q4 2024 (10K),6399.5,10K,9,0,9
total billings,billings nongaap,Q4 2024 (10K),5594.0,10K,9,0,15
margin %,results of operations-1,Q4 2024 (10K),81,10K,14,0,3
margin %,results of operations-1,Q4 2024 (10K),77,10K,14,0,9
margin %,results of operations-1,Q4 2024 (10K),75,10K,14,0,15
gross margin,results of operations-1,Q4 2024 (10K),81,10K,14,0,3
gross margin,results of operations-1,Q4 2024 (10K),77,10K,14,0,9
gross margin,results of operations-1,Q4 2024 (10K),75,10K,14,0,15
margin %,results of operations-1,Q4 2024 (10K),30,10K,21,0,3
margin %,results of operations-1,Q4 2024 (10K),23,10K,21,0,9
margin %,results of operations-1,Q4 2024 (10K),22,10K,21,0,15
operating margin,results of operations-1,Q4 2024 (10K),30,10K,21,0,3
operating margin,results of operations-1,Q4 2024 (10K),23,10K,21,0,9
operating margin,results of operations-1,Q4 2024 (10K),22,10K,21,0,15
margin %,cost of revenue and gross,Q4 2024 (10K),80.6%,10K,12,0,3
margin %,cost of revenue and gross,Q4 2024 (10K),76.7%,10K,12,0,9
gross margin,cost of revenue and gross,Q4 2024 (10K),80.6%,10K,12,0,3
gross margin,cost of revenue and gross,Q4 2024 (10K),76.7%,10K,12,0,9
deferred revenue,consolidated balance sheets,Q4 2024 (10K),3276.2,10K,24,0,3
deferred revenue,consolidated balance sheets,Q4 2024 (10K),2848.7,10K,24,0,9
deferred revenue,consolidated balance sheets,Q4 2024 (10K),3084.7,10K,26,0,3
deferred revenue,consolidated balance sheets,Q4 2024 (10K),2886.3,10K,26,0,9
deferred revenue,cash flows,Q4 2024 (10K),577.8,10K,25,0,3
deferred revenue,cash flows,Q4 2024 (10K),1095.3,10K,25,0,9
deferred revenue,cash flows,Q4 2024 (10K),1177.5,10K,25,0,15
subscription,2 revenue recognition,Q4 2024 (10K),2316.7,10K,6,0,3
subscription,2 revenue recognition,Q4 2024 (10K),1898.1,10K,6,0,9
subscription,2 revenue recognition,Q4 2024 (10K),1427.0,10K,6,0,15
support,2 revenue recognition,Q4 2024 (10K),1730.4,10K,7,0,3
support,2 revenue recognition,Q4 2024 (10K),1479.4,10K,7,0,9
support,2 revenue recognition,Q4 2024 (10K),1209.9,10K,7,0,15
service revenue,2 revenue recognition,Q4 2024 (10K),4047.1,10K,8,0,3
service revenue,2 revenue recognition,Q4 2024 (10K),3377.5,10K,8,0,9
service revenue,2 revenue recognition,Q4 2024 (10K),2636.9,10K,8,0,15
deferred revenue,7 business combinations,Col 3,37.5,10K,12,0,3
service revenue,stockbased compensation ex,Q4 2024 (10K),25.4,10K,5,0,3
service revenue,stockbased compensation ex,Q4 2024 (10K),23.3,10K,5,0,9
service revenue,stockbased compensation ex,Q4 2024 (10K),18.8,10K,5,0,15
ARR,notes to consolidated fina-9,Q4 2024 (10K),31.7,10K,4,0,3
ARR,notes to consolidated fina-9,Q4 2024 (10K),29.5,10K,4,0,9
arr,notes to consolidated fina-9,Q4 2024 (10K),31.7,10K,4,0,3
arr,notes to consolidated fina-9,Q4 2024 (10K),29.5,10K,4,0,9
deferred revenue,notes to consolidated fina-9,Q4 2024 (10K),650.8,10K,5,0,3
deferred revenue,notes to consolidated fina-9,Q4 2024 (10K),528,10K,5,0,9
ARR,notes to consolidated fina-9,Q4 2024 (10K),227.7,10K,7,0,3
ARR,notes to consolidated fina-9,Q4 2024 (10K),19.2,10K,7,0,9
arr,notes to consolidated fina-9,Q4 2024 (10K),227.7,10K,7,0,3
arr,notes to consolidated fina-9,Q4 2024 (10K),19.2,10K,7,0,9
service revenue,notes to consolidated fina-11,Q4 2024 (10K),505.6,10K,7,0,3
service revenue,notes to consolidated fina-11,Q4 2024 (10K),473.6,10K,7,0,9
service revenue,notes to consolidated fina-11,Q4 2024 (10K),393.6,10K,7,0,15
margin %,power of attorney-1,Col 3,11,10K,32,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2912,,24,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2848.7,,24,0,9
deferred revenue,condensed consolidated bal,Q1 2024,2877.9,,26,0,3
deferred revenue,condensed consolidated bal,Q1 2024,2886.3,,26,0,9
deferred revenue,consolidated cash flows,Q1 2024,54.8,,24,0,3
deferred revenue,consolidated cash flows,Q1 2024,240.7,,24,0,9
subscription,notes to condensed consoli,Q1 2024,536.9,,6,0,3
subscription,notes to condensed consoli,Q1 2024,421.7,,6,0,9
support,notes to condensed consoli,Q1 2024,407.5,,7,0,3
support,notes to condensed consoli,Q1 2024,339.9,,7,0,9
service revenue,notes to condensed consoli,Q1 2024,944.4,,8,0,3
service revenue,notes to condensed consoli,Q1 2024,761.6,,8,0,9
service revenue,stockbased compensation ex,Q1 2024,6.2,,5,0,3
service revenue,stockbased compensation ex,Q1 2024,5.1,,5,0,9
deferred revenue,key metrics,Q1 2024,5789.9,,6,0,3
deferred revenue,key metrics,Q1 2024,4880.9,,6,0,9
billings,key metrics,Q1 2024,1407.2,,7,0,3
billings,key metrics,Q1 2024,1502.9,,7,0,9
Billings,key metrics,Q1 2024,1407.2,,7,0,3
Billings,key metrics,Q1 2024,1502.9,,7,0,9
deferred revenue,billings nongaap,Q1 2024,54.9,,7,0,3
deferred revenue,billings nongaap,Q1 2024,240.6,,7,0,9
deferred revenue,billings nongaap,Q1 2024,-1,,8,0,3
billings,billings nongaap,Q1 2024,1407.2,,9,0,3
billings,billings nongaap,Q1 2024,1502.9,,9,0,9
Billings,billings nongaap,Q1 2024,1407.2,,9,0,3
Billings,billings nongaap,Q1 2024,1502.9,,9,0,9
total billings,billings nongaap,Q1 2024,1407.2,,9,0,3
total billings,billings nongaap,Q1 2024,1502.9,,9,0,9
margin %,cost of revenue and gross,Q1 2024,77.5%,,12,0,3
margin %,cost of revenue and gross,Q1 2024,75.6%,,12,0,9
gross margin,cost of revenue and gross,Q1 2024,77.5%,,12,0,3
gross margin,cost of revenue and gross,Q1 2024,75.6%,,12,0,9
deferred revenue,condensed consolidated bal,Q2 2024,2975.3,,24,0,3
deferred revenue,condensed consolidated bal,Q2 2024,2848.7,,24,0,9
deferred revenue,condensed consolidated bal,Q2 2024,2920.9,,26,0,3
deferred revenue,condensed consolidated bal,Q2 2024,2886.3,,26,0,9
deferred revenue,consolidated cash flows,Q2 2024,161.7,,24,0,3
deferred revenue,consolidated cash flows,Q2 2024,489.3,,24,0,9
subscription,notes to condensed consoli,Q2 2024,558.7,,6,0,3
subscription,notes to condensed consoli,Q2 2024,457.3,,6,0,9
subscription,notes to condensed consoli,Q2 2024,1095.6,,6,0,15
subscription,notes to condensed consoli,Q2 2024,879,,6,0,21
support,notes to condensed consoli,Q2 2024,423.7,,7,0,3
support,notes to condensed consoli,Q2 2024,362.9,,7,0,9
support,notes to condensed consoli,Q2 2024,831.2,,7,0,15
support,notes to condensed consoli,Q2 2024,702.8,,7,0,21
